id,text,label
0,标准间太差房间还不如3星的而且设施非常陈旧.建议酒店把老的标准间从新改善.,-1
1,服务态度极其差，前台接待好象没有受过培训，连基本的礼貌都不懂，竟然同时接待几个客人；大堂副理更差，跟客人辩解个没完，要总经理的电话投诉竟然都不敢给。要是没有作什么亏心事情，跟本不用这么怕。,-1
2,地理位置还不错，到哪里都比较方便，但是服务不象是豪生集团管理的，比较差。下午睡了一觉并洗了一个澡，本来想让酒店再来打扫一下，所以，打开了，请打扫的服务灯，可是到晚上回酒店，发现打扫得服务灯被关掉了，而房间还是没有打扫过。,-1
3,1。我住的是靠马路的标准间。房间内设施简陋，并且的房间玻璃窗户外还有一层幕墙玻璃，而且不能打开，导致房间不能自然通风，采光不好。2。吃了三顿早餐，品种少得可怜。3。二楼餐厅被租出去了，价格特贵。原来订餐时告之房客可以打九折（房间服务指南里也明明白白写的，等到结帐时却告之海鲜和酒水是不能打折的，而且没有发票，找来经理才好不容易在第二天拿到发票。综合来说与四星级差距太大了！,-1
4,我这次是第5次住在长春的雁鸣湖大酒店。昨晚夜里停电。深夜我睡着了。我的钱包被内贼进入我的房间，偷了我近1000元和4张信用卡。。。我的证件和外币，数码相机等都在房间的保险箱里，原封不动。我打了好几个小时的长途电话来处理我的信用卡的冻结。我报案了，这个4星酒店的保安摄像探头竟然坏了，没有修理！保安还查房卡入门时间，就是没有其他人在深夜进入我的房间。难道内贼不会用其他高明的方式进入吗？我的羽绒服也被这个内贼放在地上！我醒来时没有多想！近中午时我才发觉钱包少了现金和信用卡！还有，这家酒店的态度很差！没有同情心！我之前授权的2000元，我打了国际电话，银行说两天前我入酒店的2000元授权了，可是酒店的财务不领情，说中国银行没有授权。我又打了国际电话，我的银行说通过了！这家4星级的酒店不负责，认为不可能发生，我报案了，我下次再也不住这个1星不到的服务态度，很可耻！我还要把这个事件说给那些想定这个酒店的住客。酒店为何停电，摄像头坏得也太凑巧了来让大家知道这种内贼行为是要强力打击的。好了，不说了！！！千元丢了小事。酒店的处理态度我很反感！我强力告诉大家和提醒其他人不要到该酒店！,-1
5,前台checkin花了20分钟，checkout25分钟，这是服务态度和没有做到位。信用卡刷了好几次，不愿意用手工打电话授权。典型国营企业的极差的服务态度。,-1
6,酒店服务态度极差，设施很差，建议还是不要到那儿去。,-1
7,我3.6预定好的180的标间，当我到的时候竟然说有会议房间满了，我订的房间没有了，太不讲信誉了。唉！下次再也不会住了。,-1
8,对于我来说，12月10日是我最难熬的一天。一个四星级的酒店在温度只有13度的夜晚竟然不开空调，而且还是酒店的规定（内部文件规定），真是闻所未闻。我不知道是因为没有客人所以不开空调，还是因为不开空调就没有了客人，希望酒店多多反省。我只想建议携程尽快将该酒店的协议废除，以免其他客人受苦，影响携程的信誉。冻了一夜的白金贵宾,-1
9,位置尚可，离孔府孔庙很近，可以步行过去。环境太差，服务员素质很差，房间连衣架都没有。价格没有吸引力，比相距20米的国际青年旅舍差的太远，那里不仅价格便宜，而且卫生整洁，可以结认一些自助游的同行人，还可以自助洗衣。建议携程取消对该酒店的合作，影响携程的声誉。,-1
10,入住时间：2008.5.14地理位置：离景点比较近，离高速公路也比较近，地理位置很好服务态度：很一般饭店环境：完全不符合其星级的标准，前台大厅尚可，进去后脏乱差客房环境：地板陈旧，家具破损，卫浴设备不能正常工作等等服务态度：很一般，不热心，散漫早餐情况：很差，大杂烩，没有自助，不是咸菜就是泡菜，不是馒头就是变味的包子周围环境：晚上很吵闹，不是有服务员，客人的大叫声,-1
11,汽车站下来后碰到了几个酒店拉客的，喋喋不休，于是通过携程预订了这个酒店。曲阜不大，酒店在曲阜城的北关，从车站过去大概1公里左右，后来坐一个三轮车过去的。4快钱比想象中的要便宜。酒店就是80年代的镇里面的招待所的感觉，大厅黑压压的，过道中N多垃圾，没人打扫，房间里地毯黑乎乎的，房间又小。马桶里也黑乎乎的。。。。另外问前台服务员有没有曲阜直达上海大巴，均被告知不知道。结果只好预订了济南回上海的飞机，第2天早上去车站坐车去济南的时候，顺便问了下售票员说曲阜到上海的大巴有好几班，特别是下午1～3点间有好多济宁等地去上海的过路车经过的。。。但机票已经预订好了，只好返回济南再坐飞机回去的。在离酒店100多米的地方有个曲阜国际青年旅舍，看起来不错，应该挺干净的，家庭房价格也就120块，比裕隆便宜，建议下次大家去这儿住。补充点评2008年5月2日：哪儿有水果送？？？估计今年改了。,-1
12,与其说是饭店不如说是招待所。早餐品种少而且质量也不高，最不能令人接受的是盛早餐的餐具（盘子，碗）里面都汪着水。唰过后的水根本就被弄干净，恐怕更提不上消毒。补充点评2007年10月8日：哦，忘记了，酒店送水果，这点是不错的。,-1
13,这个酒店和曲阜都给人留下了永远难忘的印象－－垃圾！！奉劝各位千万不要再去那里了，保你后悔没及！总体印象是：无论酒店，商店，交通还是旅游景点，除了收费已和国际接轨了以外，其他的都是老、少、边区的水平！！！！！！！！悲哀呀，以提倡仁、义、礼、至、信闻名于世的孔老夫子的故乡,-1
14,房间还可以，比较大，但是临近马路，早上被车辆声音吵醒了，还有就是桑拿浴室不好，洗了一次澡，我和朋友损失200块钱，怀疑那里有人偷钱，如果各位朋友去，千万不要带现金。,-1
15,周末住了一晚，酒店周边还是可以的，出行很方便~周日去花果山景区，打车25元就可以到；房间的话设施老了，空调漏了一个晚上的水！单人间卫生间很简陋~20元的自助早餐也就5元的水平~总体来说，要求不高的话就只能随便住住的地。,-1
16,去的时候已经很晚了，在大厅叫了好几声才有一个服务员从前台后面爬起来，帮忙办理了入住手续。进到房间后发现房间的设施非常简陋，霉味也非常大。第二天早上起来才仔细看了一下房间，比起如家等快捷酒店差远了，说是三星的酒店，但距离三星不是差一点点。。。根本对不起220的价格，最多也就值100多一点点。,-1
17,房间里铺着像餐馆一样的廉价石砖地，两床之间有一块肮脏的地毯床上只有及薄的褥子，床垫上的弹簧不分轻重的时刻硌着你。喷头出的水永远只有两种温度，极热和极冷出行不方便，地点比较偏颇，从解放碑打车，很多司机都不去。总之糟糕透顶,-1
18,说是4星的，居然没有设置无烟房，实在是无语。宾馆反馈2008年4月28日：尊敬的宾客，非常感谢您入住七星商务酒店！本酒店10楼为无烟楼层客房，楼层及客房均设有明显无烟楼层标志。我们诚挚地期待您下次光临我们酒店，我们将尽量满足您的订房需求。,-1
19,前台服务超差，基本的笑容都没有，看都不看你，连招待所都不如，很明显四星级的牌子是买回来的。房间装修也很一般，幸亏价钱还不算很高，但这样的服务就算高了。住了两次，没有任何改观的迹象，下次不住它了！,-1
20,不太好，晚上被卡拉OK的声音干扰到很晚。楼下的饭店也搞出很多污染。,-1
21,可以说是比较差的一个酒店，酒店走道昏暗，走道和房间内都有一股浓浓的霉味，床单看上去摸上去也是不很干净的，卫生间味道更难闻，里面的设施也是发霉的。最恼人的是晚上楼下的KTV的音乐声，难以入睡。,-1
22,客观说，不怎么样的酒店。我是1月11日住的，天气特别冷，房间空调根本就不管用，我在房间待了4个小时手脚冰凉，最后没有办法打电话投诉，给我加了个电暖气，效果没变化。最气愤的是，我没听说过哪个酒店要变更或者取消，必须在15：00前联系，不联系就从你信用卡里扣钱。我订了2间房，3个早餐，由于青岛天气的原因，我的朋友没去成，我在下午4点半取消了一个房间和2个早餐，但是结帐时却收我2份早餐钱。我已经在下午通知携程了，携程也答复我通知酒店了。可酒店前台就是不承认收到通知，我不在乎那60元，是觉得态度真的不能理解。但是酒店司机的态度很好，我感谢酒店的司机师傅和礼宾部的人。反正以后不会在住这里了，青岛有好多好酒店，我自己也遗憾为什么选择这里。地理位置也不好，离海也远，就是去超市近点。,-1
23,优点就不说了，说说缺点吧。1、前台的POS机真的该换换了，刷卡慢的出奇。1、前台服务员态度也不是很好。3、太吵，最要命的缺点，一个宾馆主要的功能时能提供相对安静的环境，可是住在这里实在吵得要命，联系前台提出置之不理。4、没有全天的暖气，实在搞笑，问前台说要五点以后才提供，这样的大酒店我想和小旅社都有区别，小旅社还提供24小时暖气呢。真的搞笑。,-1
24,1酒店比较偏打车不方便2酒店楼上有KTV，晚上非常吵，特别是对住在五楼的房客。3前台接待，态度生硬。不太欢迎通过携程网预订的人。接待我的小姐，还给我一张名片，让我订房直接打宾馆电话就可以了。说携程发传真来还要回传比较烦。那位小姐好像姓冯。4房价水份太多。房价标价为516元，但一般预订只要讲价的话通常会以318元成交。5在入住后的第二天，我退房后，因为有事还要入住，前台一听是通过携程订的直接回答没房预订（该市当天并没有什么重大活动，也不是旅游旺季）6房间里的价格比外面高许多，一瓶外面一元钱的矿泉水，房间里标价为5元。而且酒店附近没有购物的地方。7服务意识太差，我询问前台工作人员当地天气预报，回答说是不知道。8早餐较差，部分菜还是冷的该酒店有好的设施但缺乏有效的管理，服务意识较差，甚至有点店大欺客的味道，虽然，它并不是什么大店,-1
25,十月二日晚入住，前台小姐态度冷淡，到了三楼的标房没有电梯，走廊很闷热（没有空调），房间内设备陈旧，没有吹风机，就是招待所的标准，哪是三星级的宾馆哦！晚上吃了饭回宾馆，１０点左右宾馆已关门，没有服务人员，要自己叫开门，晕死，就这个服务，还收４９０的房费．不建议去天目湖的游人选择这个宾馆，物不所值啊！,-1
26,能不住就尽量别住吧，差就一个字，反正住了一天我就换地方了,-1
27,很少上来点评，但是为了让大家有个正确地认识，我愿意花点时间来点评下：我的建议是请你选择别的酒店，因为此酒店较陈旧，最重要的是房间的隔音效果非常差，我本人非常的不适应，当然如果您对噪音觉得无所谓的话，此酒店还是可以的。,-1
28,这应该是我在用携程订房以来所遇到的最烂的酒店了，居然还是4星的。理由如下：1，酒店所提供的房间是临窗的，下面就是一座立交桥，虽然是在10楼，但是还是非常吵，特别是上下班的时候，简直就像住在菜场里面。2，房间的淋浴室花洒没有办法调整，站在淋浴房里你就得准备先享受享受冷水浴3，门有时会发出神经质的报警声音，估计是报警器的接触不良，修了也修不好。4，电梯太慢5，整个酒店的小姐特别多，而且完全不分白天黑夜的到处乱窜，简直不得了6，停车就不用说了，还要拿个票到前台盖章。有时候忘记了，好不容易开车出来到门口，发现没盖章，保安说什么都要你交停车费。再有就是你办事回来的时候千万不要遇上上下班，要不然，你就得和轿车、卡车、公交车、摩托车、自行车、行人甚至是动物争抢每一寸马路（真不知道立交桥下怎么会有这样的交通状况，就像是10年以前的中国县城）6，而且，礼品有圈套的。携程写明有礼品赠送，其实就是一瓶水。我们刚刚入住酒店，酒店的前台经理（后来才知道）打电话告诉我们：酒店冰箱的可乐和鲜橙多是免费的。想着有携程的描述，还不错。哪知道一结帐，告知我们消费30元，因为我们消费了冰箱的饮料。后来前台经理才说，只赠送一瓶，可乐和鲜橙多任选。你想想，我两个人入住，只让喝一瓶，这是什么狗屁规定！一瓶10元，别说赠送1瓶，送3瓶都有赚的了。不知道携程有份参与没有，只是酒店坚持必须买单我们就非常不舒服，哪有星级酒店这么干的，客户与酒店产生异议的时候，从来都是酒店主动让步的，切！补充点评2007年10月19日：看到了下面的评价，我马上查了一下信用卡帐单，果然是预授权还没有取消，我的天哪，2400呀，就算冻结了，真是要命！,-1
29,酒店太旧了，大堂感觉象三星级的，房间也就是的好点的三星级的条件，在青岛这样的酒店是绝对算不上四星标准，早餐走了两圈也没有找到可以吃的，太差了,-1
30,酒店位置不是很理想，去金元购物中心还是蛮近的，大约10分钟车程，我入住的是448的房间，正赶上卫生部开会，人很多，另外，2个房间之间有一扇门，隔音效果特别不好，半夜时被隔壁的亲热声吵醒，晕,-1
31,网上评价不错，但是实际情况并不尽如人意，与2-3星的水平差不多~~总的来说，性价比不高！,-1
32,这是一家相当烂的酒店，我不知道其他人是如何评价它的，对客户那种极不信任的表情以及工作作风，自以为是，狂妄自大，肆意欺骗顾客，他们根本就没把客户放在眼里，我奉劝看过此贴的朋友，千万不要住这家黑店啊！切记！！！,-1
33,这个酒店，本人已经是多次预订、多次入住了。个人感觉现在是越来越差。6/17早晨3点多，还是那一班火车到的的苏州，到锦地星座时大约4点，以为还能像以前那样顺利办理入住。接待当时都趴台上死睡，叫醒他们，希望办理入住，答复是：不可以，还有2小时才6点，6点后才能办理入住。如果6点前入住，要交一天的房费。我问能不能提供一下方便，按钟点房计费或者先给我住下，将相关的手续办到6点以后（以前都这么做的），接待的很不客气，说没办法。要么等，要么走。NND，LZ火冒三丈，但也不能跟这些人计较啊。从后门（富仁坊）出去30米，到汉庭住下了，人家那服务态度让人感觉真是宾至如归啊。结算按的是一天房费。需要说明一下的是：房间、设施跟锦地星座完全是一样的。只是没有早餐，那个值班经理还给我拿了15元的用品作为补偿。而房价只是锦地星座的一半。终归到底一句话，下次是肯定不会再住锦地星座了。宾馆反馈2008年7月7日：首先对您多次入住本酒店表示忠心感谢！您提出的问题酒店领导层高度重视，并进行了整改。本酒店就您提出的入住时间问题予以以下说明：根据行业规定，本酒店针对每天06：00点以后入住的宾客只算当天房价，您前两次来本店的入住的时间是：06：06分（06年8月24日），05：59分（08年5月22日），当时总台服务员给予变通解决，而您6月17日凌晨是03：45分抵达本酒店，离规定6；00点相差时间较长，当时总台服务员给您作出了充分解释。尽管如此，您的意见我们仍会虚心接受，以后针对此种情况，我们会作出变通处理。再次衷心地欢迎您下次人住本酒店。,-1
34,总台服务还可以，房间实在不怎么样，空调很吵，床居然是一边高一边低的，这个房价实在是不值得，下次不会选择。,-1
35,5月1日入住，其他地方没房间，定了锦地星座的特惠标准间，checkin的时候被告知升级到高级标准间，心里一阵暗喜，没想到经过一段乱糟糟的路（好像是厨房的外面）后，到了1号楼，进了房间更加失望，床小不说，还什么都没有，设施陈旧，马路上汽车的噪音更是让人难以忍受，洗个澡水流一地，哎，下次还不如去住个连锁商务酒店，同等的条件价钱最多只有2/3。,-1
36,由于房间里面的水是锈水，大堂副理免费升级到套间，由于我预定3天，讲好头2晚是478，第三晚是578。结果第三天直接告诉只能是678，经过与携程反映也没有效果，原因就是第三天有一批人来此开会，房间不够，故意把住客赶走。坚决再也不住这里了。态度十分差劲。,-1
37,酒店不像是五星的，最多三星标准，比较失望，两个房间的海景只能看到一个角，而且服务意识都没有，我们两个房间都忘了东西，结果都到蓬莱了还没人联系我们。打电话想让他们寄回来，结果都在踢皮球，闹了半天还得回去拿。郁闷~~,-1
38,某些酒店人员对待顾客不诚恳。说给你换房间，骗你说是价钱贵的房间。其实是把你的房间档次调低了。没有房间就实话实说，别骗人啊，什么态度。有些房间的隐私性也不好,-1
39,刚回成都没有地方住，就只有在等朋友最近的地方定了紫薇。去之前很担心，因为该酒店的评价一直不是很好。到了大堂果然失望，服务人员就像刚从周围打工市场招来的，连衣服都不怎么干净！态度还很冷淡！房间里面最大的缺点就是设计问题。阳台的玻璃门打不开，整个房间没有办法透气，很闷！！不过早餐还将就，服务还可以，才算得上四星级的酒店，其他的，真的很让人失望，大家最好还是不要去的好！！,-1
40,我感觉不行。。。性价比很差。不知道是银川都这样还是怎么的！,-1
41,房间隔音效果极差，深夜如果隔壁客人大声喧哗的话……服务员会去提醒，但仅限于你投诉后,-1
42,赞成前面的点评，我是第一次住这边，房间设置很不合理，卫生间超级变态，不推荐入住！我出差经常住玉皇阁北街那边的玉皇阁酒店，地理位置好，是闹中取静的好地方，标间才150左右，还有游泳池，可以免费游泳，觉得性价比挺高。携程上没有，出租车司机都知道的。强烈建议携程把这家酒店也收录进去。,-1
43,酒店设施老化严重。作为一家五星级酒店，居然没有无烟楼层（这是前台登记的时候酒店服务员说的）,-1
44,晚餐吃出长头发，服务员竟不以为然！洗完澡时，发现浴巾上竟也有长头发！如家在我心目中一直是快捷酒店的楷模，但这次入住北京团结湖店，令人大跌眼镜。,-1
45,预订的房间checkin时是4楼，电话坏了几天还安排我住，到了晚上十一点发现了，前台回复说明天再给我换。我只住一晚啊，老大。在我坚持下，换了个一楼的房间，外面是停车场，一晚上完全睡不着。,-1
46,我本来是订的220元的标间，后来告诉我只有258元的标间。只好答应、别无选择。以为在这种档次的城市，外标300多元的房间会不错，实际入住后，感觉性价比较差，设施简陋，不像能代表该市形象的窗口。空调是中央控制，房间内不可以调整，刚进房间有异味。这也是我两年来唯一遇到的在宾馆入住、还要另外缴纳10元停车费的！可能是我们少见多怪吧。优点：早餐还好，符合20元的标准。补充点评2008年6月8日：建议把地址改为“六峰路”，这样开车好找！,-1
47,感觉一般，就是各方面都一般，在三门峡这种地方住住还是可以的,-1
